TransactionID,isFraud
468653,0
468654,0
468655,0
468656,0
468657,0
468658,0
468659,0
468660,0
468661,0
468662,0
468663,0
468664,0
468665,0
468666,0
468667,0
468668,0
468669,0
468670,0
468671,0
468672,0
468673,0
468674,0
468675,0
468676,0
468677,0
468678,0
468679,0
468680,0
468681,0
468682,0
468683,0
468684,0
468685,0
468686,0
468687,0
468688,0
468689,0
468690,0
468691,0
468692,0
468693,0
468694,0
468695,0
468696,0
468697,0
468698,0
468699,0
468700,0
468701,0
468702,0
468703,0
468704,0
468705,0
468706,0
468707,0
468708,0
468709,0
468710,0
468711,0
468712,0
468713,0
468714,0
468715,0
468716,0
468717,1
468718,0
468719,0
468720,0
468721,0
468722,0
468723,0
468724,0
468725,0
468726,0
468727,0
468728,0
468729,0
468730,0
468731,0
468732,0
468733,0
468734,0
468735,0
468736,0
468737,0
468738,0
468739,0
468740,0
468741,0
468742,0
468743,0
468744,0
468745,0
468746,0
468747,1
468748,1
468749,0
468750,0
468751,0
468752,0
468753,0
468754,0
468755,0
468756,0
468757,0
468758,0
468759,0
468760,0
468761,0
468762,0
468763,0
468764,0
468765,0
468766,0
468767,0
468768,0
468769,0
468770,0
468771,0
468772,0
468773,0
468774,0
468775,1
468776,0
468777,0
468778,0
468779,0
468780,0
468781,0
468782,0
468783,0
468784,0
468785,0
468786,0
468787,0
468788,0
468789,0
468790,0
468791,1
468792,0
468793,0
468794,0
468795,0
468796,0
468797,0
468798,0
468799,0
468800,1
468801,0
468802,0
468803,0
468804,0
468805,0
468806,0
468807,0
468808,0
468809,0
468810,0
468811,0
468812,0
468813,0
468814,0
468815,0
468816,0
468817,0
468818,1
468819,0
468820,0
468821,0
468822,0
468823,0
468824,0
468825,0
468826,0
468827,0
468828,0
468829,0
468830,0
468831,0
468832,0
468833,0
468834,0
468835,0
468836,0
468837,0
468838,0
468839,0
468840,0
468841,0
468842,0
468843,0
468844,0
468845,0
468846,0
468847,0
468848,0
468849,0
468850,0
468851,0
468852,0
468853,0
468854,0
468855,0
468856,0
468857,0
468858,0
468859,0
468860,0
468861,0
468862,0
468863,0
468864,0
468865,0
468866,0
468867,0
468868,0
468869,0
468870,0
468871,0
468872,0
468873,0
468874,0
468875,0
468876,0
468877,0
468878,0
468879,0
468880,0
468881,0
468882,0
468883,0
